method,gold_gap_type,predicted_gap_type,count
llm_only,authorization_gap,none,2
llm_only,none,none,4
llm_only,patient_info_gap,none,4
vanilla_rag,authorization_gap,none,2
vanilla_rag,none,none,4
vanilla_rag,patient_info_gap,none,4
query_rewrite_rag,authorization_gap,none,2
query_rewrite_rag,none,none,4
query_rewrite_rag,patient_info_gap,none,4
self_reflection_rag,authorization_gap,self_reflection_only,2
self_reflection_rag,none,self_reflection_only,4
self_reflection_rag,patient_info_gap,self_reflection_only,4
source_trust_rag,authorization_gap,none,2
source_trust_rag,none,none,4
source_trust_rag,patient_info_gap,none,4
claim_verification_only,authorization_gap,verification_only,2
claim_verification_only,none,verification_only,4
claim_verification_only,patient_info_gap,verification_only,4
claim_authorization,authorization_gap,authorization_gap,2
claim_authorization,none,none,3
claim_authorization,none,patient_info_gap,1
claim_authorization,patient_info_gap,patient_info_gap,4
