metric,llm_only,vanilla_rag,query_rewrite_rag,self_reflection_rag,source_trust_rag,claim_verification_only,claim_authorization
action_accuracy,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.9000
answer_coverage,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000
audited_claims,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000
coverage,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3000
emitted_claims,20.0000,20.0000,20.0000,20.0000,20.0000,13.0000,11.0000
gap_type_accuracy,0.4000,0.4000,0.4000,0.0000,0.4000,0.0000,0.9000
necessary_clarification_recall,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
over_abstention_rate,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
response_coverage,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000
risk_weighted_unsupported_claim_rate,1.0000,0.3824,0.3824,0.3824,0.3824,0.0000,0.0000
total_questions,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
unsafe_direct_answer_rate,1.0000,0.8571,0.8571,0.8571,0.8571,0.0000,0.0000
unsupported_claim_rate,1.0000,0.3500,0.3500,0.3500,0.3500,0.0000,0.0000
